function,description,sqliteDbAverage (ns),mockDbAverage (ns)
int-to-str,"(int-to-str 4 10000)
",6548.555169687439,6576.968293035814
int-to-str,"(int-to-str 5 10000)
",6543.060849115482,6559.220006143741
int-to-str,"(int-to-str 6 10000)
",6621.961428955093,6512.9419844998765
int-to-str,"(int-to-str 7 10000)
",6454.68618543568,6445.522935899233
int-to-str,"(int-to-str 8 10000)
",6392.9897038546915,6422.847289037746
int-to-str,"(int-to-str 9 10000)
",6465.375795824067,6395.406163092735
int-to-str,"(int-to-str 10 10000)
",6457.118459570539,6430.150473424451
int-to-str,"(int-to-str 11 10000)
",6253.085139129165,6189.477647413729
int-to-str,"(int-to-str 12 10000)
",6244.390941548986,6232.283229691835
int-to-str,"(int-to-str 13 10000)
",6291.919575479995,6301.017444778609
int-to-str,"(int-to-str 14 10000)
",6267.828163465988,6261.908013404888
int-to-str,"(int-to-str 15 10000)
",6316.655574559104,6340.486311574212
int-to-str,"(int-to-str 16 10000)
",6294.160896112068,6233.710495341856
int-to-str,"(int-to-str 64 100)
",5303.169282510961,5108.01833244711
int-to-str,"(int-to-str 2 100)
",6568.799854500351,6519.336721900632
int-to-str,"(int-to-str 3 100)
",6446.92874657654,6407.797503665058
int-to-str,"(int-to-str 4 100)
",6332.379218937473,6213.536148130127
int-to-str,"(int-to-str 5 100)
",5940.213961702316,5884.788392639734
int-to-str,"(int-to-str 6 100)
",5965.5786716737975,5873.225449792947
int-to-str,"(int-to-str 7 100)
",5993.463636373325,5856.609881070028
int-to-str,"(int-to-str 8 100)
",5978.307763152734,5882.502913305962
int-to-str,"(int-to-str 9 100)
",5975.068528032928,5925.97213040364
int-to-str,"(int-to-str 10 100)
",5963.119475715289,5894.919904790285
int-to-str,"(int-to-str 11 100)
",6014.3316819414495,5971.499654015487
int-to-str,"(int-to-str 12 100)
",6006.668703739258,5915.891028888754
int-to-str,"(int-to-str 13 100)
",5916.507151512647,5915.840794784515
int-to-str,"(int-to-str 14 100)
",5987.4111646473475,5858.053108472125
int-to-str,"(int-to-str 15 100)
",6152.532690495661,5972.532846949777
int-to-str,"(int-to-str 16 100)
",6022.577523310262,5820.7099475418445
int-to-str,"(int-to-str 64 10)
",5177.629170358766,5154.477461431917
int-to-str,"(int-to-str 2 10)
",6346.72738467038,6116.196958666299
int-to-str,"(int-to-str 3 10)
",5974.444734878093,5931.888427026802
int-to-str,"(int-to-str 4 10)
",6028.06519291718,5957.8016931419015
int-to-str,"(int-to-str 5 10)
",6072.55026604274,6007.741691026476
int-to-str,"(int-to-str 6 10)
",6011.163008441104,6010.008176200299
int-to-str,"(int-to-str 7 10)
",6049.529756065739,5975.678768669463
int-to-str,"(int-to-str 8 10)
",6009.564618719684,6026.6821213376
int-to-str,"(int-to-str 9 10)
",6034.067870657091,5967.353181287548
int-to-str,"(int-to-str 10 10)
",5992.541520124472,6011.501249728237
int-to-str,"(int-to-str 11 10)
",5983.9459741768615,5998.911215409754
int-to-str,"(int-to-str 12 10)
",6029.680494745085,5636.077127265397
int-to-str,"(int-to-str 13 10)
",6030.6909788918665,5925.619285793124
int-to-str,"(int-to-str 14 10)
",5973.097781858305,6011.079766131194
int-to-str,"(int-to-str 15 10)
",6001.549204587463,5856.522010019701
